               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.015799,           0.0075648,           0.0026408,                   0,                   0,                   0,                   0,                   0,           0.0070458,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.016722,           0.0073894,           0.0024628,                   0,                   0,                   0,                   0,                   0,           0.0071647,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.015794,           0.0078725,           0.0019983,                   0,                   0,                   0,                   0,                   0,            0.007101,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.016636,           0.0075964,           0.0021362,                   0,                   0,                   0,                   0,                   0,           0.0070238,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.016362,           0.0075098,           0.0022845,                   0,                   0,                   0,                   0,                   0,            0.007041,                   0,            0.006205,            0.006205,            0.006205
                 117,             0.01484,           0.0075723,           0.0022531,                   0,                   0,                   0,                   0,                   0,           0.0070901,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.015311,           0.0074191,           0.0022117,                   0,                   0,                   0,                   0,                   0,           0.0072895,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.016009,             0.00771,           0.0031076,                   0,                   0,                   0,                   0,                   0,           0.0071281,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.015218,           0.0073796,           0.0027013,                   0,                   0,                   0,                   0,                   0,           0.0070735,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.014444,           0.0072362,           0.0021097,                   0,                   0,                   0,                   0,                   0,            0.007059,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.015152,            0.007289,           0.0021506,                   0,                   0,                   0,                   0,                   0,           0.0067515,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.016246,           0.0075991,           0.0023195,                   0,                   0,                   0,                   0,                   0,           0.0067059,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.015556,           0.0071099,           0.0023314,                   0,                   0,                   0,                   0,                   0,           0.0062667,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.015364,           0.0075996,           0.0031117,                   0,                   0,                   0,                   0,                   0,           0.0055462,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.015081,            0.007449,           0.0024575,                   0,                   0,                   0,                   0,                   0,            0.005283,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.014808,           0.0073328,           0.0022167,                   0,                   0,                   0,                   0,                   0,           0.0063308,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.015005,            0.007518,           0.0027572,                   0,                   0,                   0,                   0,                   0,           0.0065049,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.014299,           0.0073754,           0.0026079,                   0,                   0,                   0,                   0,                   0,           0.0060198,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.015465,           0.0073145,           0.0019908,                   0,                   0,                   0,                   0,                   0,           0.0061709,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.014489,            0.007063,           0.0027588,                   0,                   0,                   0,                   0,                   0,           0.0066594,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.014689,           0.0071116,            0.001709,                   0,                   0,                   0,                   0,                   0,           0.0062946,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.014503,           0.0070751,           0.0026662,                   0,                   0,                   0,                   0,                   0,           0.0060939,                   0,            0.005644,            0.005644,            0.005644
                 134,             0.01359,           0.0068635,           0.0019709,                   0,                   0,                   0,                   0,                   0,           0.0058325,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.015299,            0.007013,           0.0015839,                   0,                   0,                   0,                   0,                   0,           0.0064566,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.015058,           0.0070826,           0.0028475,                   0,                   0,                   0,                   0,                   0,           0.0064437,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.014314,           0.0067877,           0.0020776,                   0,                   0,                   0,                   0,                   0,           0.0065523,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.015634,           0.0071623,           0.0020999,                   0,                   0,                   0,                   0,                   0,            0.006633,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.014309,           0.0069769,           0.0015146,                   0,                   0,                   0,                   0,                   0,           0.0064202,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.014513,           0.0073616,           0.0015029,                   0,                   0,                   0,                   0,                   0,           0.0064934,                   0,            0.005413,            0.005413,            0.005413
                 141,             0.01449,           0.0068609,           0.0018544,                   0,                   0,                   0,                   0,                   0,           0.0067281,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.015136,           0.0074418,           0.0015699,                   0,                   0,                   0,                   0,                   0,           0.0067603,                   0,            0.005347,            0.005347,            0.005347
