INFO:root:Using Tensorboard, logs will be saved in workspace/nanodet_m/logs
INFO:root:Creating model...
INFO:root:Setting up data...
INFO:root:loading annotations into memory...
INFO:root:Found 3600 annotation files.
INFO:root:Load 3600 xml files and 3943 boxes
INFO:root:Done (t=0.20s)
INFO:root:loading annotations into memory...
INFO:root:Found 1397 annotation files.
INFO:root:Load 1397 xml files and 1549 boxes
INFO:root:Done (t=0.08s)
INFO:root:Training batch size: 20
INFO:root:Starting training...
INFO:root:Start warming up...
INFO:root:train|Epoch2/200|Iter251(70/180)| lr:1.40e-01| loss_qfl:0.3368| loss_bbox:0.4332| loss_dfl:0.2615| 
INFO:root:train|Epoch2/200|Iter261(80/180)| lr:1.40e-01| loss_qfl:0.3310| loss_bbox:0.4064| loss_dfl:0.2497| 
INFO:root:train|Epoch2/200|Iter271(90/180)| lr:1.40e-01| loss_qfl:0.3156| loss_bbox:0.4240| loss_dfl:0.2511| 
INFO:root:train|Epoch2/200|Iter281(100/180)| lr:1.40e-01| loss_qfl:0.3214| loss_bbox:0.4132| loss_dfl:0.2560| 
INFO:root:train|Epoch2/200|Iter291(110/180)| lr:1.40e-01| loss_qfl:0.3206| loss_bbox:0.4602| loss_dfl:0.2634| 
INFO:root:train|Epoch2/200|Iter301(120/180)| lr:1.40e-01| loss_qfl:0.3015| loss_bbox:0.4386| loss_dfl:0.2622| 
INFO:root:train|Epoch2/200|Iter311(130/180)| lr:1.40e-01| loss_qfl:0.2986| loss_bbox:0.4363| loss_dfl:0.2575| 
INFO:root:train|Epoch2/200|Iter321(140/180)| lr:1.40e-01| loss_qfl:0.3397| loss_bbox:0.4482| loss_dfl:0.2637| 
INFO:root:train|Epoch2/200|Iter331(150/180)| lr:1.40e-01| loss_qfl:0.3505| loss_bbox:0.4471| loss_dfl:0.2654| 
INFO:root:train|Epoch2/200|Iter341(160/180)| lr:1.40e-01| loss_qfl:0.3556| loss_bbox:0.4485| loss_dfl:0.2625| 
INFO:root:train|Epoch2/200|Iter351(170/180)| lr:1.40e-01| loss_qfl:0.3216| loss_bbox:0.4389| loss_dfl:0.2608| 
INFO:root:train|Epoch3/200|Iter361(0/180)| lr:1.40e-01| loss_qfl:0.3008| loss_bbox:0.3762| loss_dfl:0.2430| 
INFO:root:train|Epoch3/200|Iter371(10/180)| lr:1.40e-01| loss_qfl:0.3098| loss_bbox:0.4436| loss_dfl:0.2597| 
INFO:root:train|Epoch3/200|Iter381(20/180)| lr:1.40e-01| loss_qfl:0.3240| loss_bbox:0.4425| loss_dfl:0.2533| 
INFO:root:train|Epoch3/200|Iter391(30/180)| lr:1.40e-01| loss_qfl:0.3007| loss_bbox:0.4077| loss_dfl:0.2484| 
INFO:root:train|Epoch3/200|Iter401(40/180)| lr:1.40e-01| loss_qfl:0.2891| loss_bbox:0.4294| loss_dfl:0.2558| 
INFO:root:train|Epoch3/200|Iter411(50/180)| lr:1.40e-01| loss_qfl:0.3113| loss_bbox:0.3990| loss_dfl:0.2402| 
INFO:root:train|Epoch3/200|Iter421(60/180)| lr:1.40e-01| loss_qfl:0.3253| loss_bbox:0.4144| loss_dfl:0.2491| 
INFO:root:train|Epoch3/200|Iter431(70/180)| lr:1.40e-01| loss_qfl:0.3568| loss_bbox:0.4139| loss_dfl:0.2426| 
INFO:root:train|Epoch3/200|Iter441(80/180)| lr:1.40e-01| loss_qfl:0.3254| loss_bbox:0.4217| loss_dfl:0.2516| 
INFO:root:train|Epoch3/200|Iter451(90/180)| lr:1.40e-01| loss_qfl:0.3051| loss_bbox:0.4357| loss_dfl:0.2576| 
